dataset,mean_auc,difficulty_level,n_samples,n_features,class_ratio
Bladder_GSE31189,0.67274,hard,85,54675,0.7708333333333334
Prostate_GSE6919_U95Av2,0.6864600000000001,hard,124,12625,1.0
Renal_GSE53757,0.8658333333333333,medium,143,54675,0.9861111111111112
Colorectal_GSE44861,0.88148,medium,105,22277,0.9811320754716981
Pancreatic_GSE16515,0.9219866666666667,medium,51,54675,0.4166666666666667
Breast_GSE70947,0.9399200000000001,medium,289,35981,0.9794520547945206
Liver_GSE76427,0.9673200000000001,easy,165,47322,0.43478260869565216
Liver_GSE14520_U133A,0.9829600000000001,easy,357,22277,0.9723756906077348
Lung_GSE19804,0.9849533333333333,easy,114,54675,0.9655172413793104
Leukemia_GSE63270,0.9981533333333333,easy,101,54675,0.6833333333333333
Colorectal_GSE44076,0.9991666666666668,easy,194,49386,1.0
