method,family,k,dataset,auc_mean,stability_nogueira,bacc,n_feat,runtime_fs,difficulty_tier,dsk_median_auc,relative_auc
variance,Filter,3,Bladder_GSE31189,0.518,-0.0001,0.4951,3.0,,Hard,0.5353,-0.0173
variance,Filter,3,Breast_GSE70947,0.6415,-0.0001,0.6046,3.0,,Medium,0.9026,-0.2611
variance,Filter,3,Colorectal_GSE44076,0.7723,-0.0001,0.7313,3.0,,Easy,0.9975,-0.2252
variance,Filter,3,Colorectal_GSE44861,0.6582,-0.0001,0.6309,3.0,,Medium,0.8898,-0.2316
variance,Filter,3,Leukemia_GSE63270,0.6776,-0.0001,0.6314,3.0,,Easy,0.9965,-0.3189
variance,Filter,3,Liver_GSE14520_U133A,0.767,-0.0001,0.7039,3.0,,Easy,0.9747,-0.2077
variance,Filter,3,Liver_GSE76427,0.644,-0.0001,0.5957,3.0,,Easy,0.9678,-0.3238
variance,Filter,3,Lung_GSE19804,0.7205,0.0055,0.6727,3.0,,Easy,0.9788,-0.2583
variance,Filter,3,Pancreatic_GSE16515,0.6312,-0.0001,0.5554,3.0,,Medium,0.8955,-0.2643
variance,Filter,3,Prostate_GSE6919_U95Av2,0.617,-0.0002,0.576,3.0,,Hard,0.6976,-0.0806
variance,Filter,3,Renal_GSE53757,0.7307,-0.0001,0.6713,3.0,,Medium,0.8768,-0.1461
variance,Filter,5,Bladder_GSE31189,0.5324,-0.0001,0.5092,5.0,,Hard,0.5564,-0.024
variance,Filter,5,Breast_GSE70947,0.6962,0.0012,0.6531,5.0,,Medium,0.914,-0.2178
variance,Filter,5,Colorectal_GSE44076,0.8496,-0.0001,0.8067,5.0,,Easy,0.9982,-0.1486
variance,Filter,5,Colorectal_GSE44861,0.7036,0.0004,0.6467,5.0,,Medium,0.8876,-0.184
variance,Filter,5,Leukemia_GSE63270,0.7403,-0.0001,0.6745,5.0,,Easy,0.9988,-0.2585
variance,Filter,5,Liver_GSE14520_U133A,0.8058,0.0004,0.7529,5.0,,Easy,0.9797,-0.1739
variance,Filter,5,Liver_GSE76427,0.7195,-0.0001,0.6447,5.0,,Easy,0.9671,-0.2476
variance,Filter,5,Lung_GSE19804,0.7592,0.0032,0.6876,5.0,,Easy,0.9792,-0.22
variance,Filter,5,Pancreatic_GSE16515,0.6957,-0.0001,0.6427,5.0,,Medium,0.9264,-0.2307
