method,Easy,Hard,Medium,grand_mean
relieff,0.9872,0.6846,0.9157,0.8625
mel,0.9864,0.6777,0.9086,0.8576
sfe,0.9867,0.6591,0.9029,0.8496
mrmr,0.9874,0.6438,0.9163,0.8492
anova,0.9875,0.6388,0.9179,0.8481
extratrees,0.9869,0.6469,0.9043,0.846
bpso,0.9884,0.6393,0.9098,0.8458
mi,0.9884,0.6401,0.9043,0.8443
elasticnet,0.9861,0.6462,0.8961,0.8428
boruta,0.9882,0.6327,0.9032,0.8414
l1_logistic,0.9871,0.6398,0.8962,0.841
rfecv,0.9802,0.6577,0.8849,0.8409
ga,0.9839,0.6441,0.8894,0.8391
linearsvc_l1,0.9854,0.6369,0.8904,0.8376
variance,0.8762,0.6009,0.7878,0.755
