method,Easy,Hard,Medium,grand_mean
anova,0.7762,0.3078,0.5483,0.5441
relieff,0.7498,0.257,0.5678,0.5249
mrmr,0.7641,0.1486,0.5074,0.4734
l1_logistic,0.4894,0.3041,0.4088,0.4008
elasticnet,0.5461,0.2027,0.3188,0.3559
mi,0.5516,0.163,0.313,0.3425
mel,0.4626,0.0683,0.3192,0.2834
boruta,0.384,0.1578,0.2702,0.2707
linearsvc_l1,0.3951,0.1449,0.2053,0.2484
bpso,0.3281,0.158,0.2359,0.2407
sfe,0.2188,0.0365,0.0817,0.1123
extratrees,0.1748,0.0475,0.1017,0.108
rfecv,0.1546,0.0288,0.0633,0.0822
ga,0.1761,0.007,0.0309,0.0713
variance,0.0013,0.0002,0.0012,0.0009
